"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,123,"LAO","Laos",1,"Attapu","Khoueng","Province",NA,"Attopu|Atpu|Attapeu|Attopeu|Muang Mai"
2,123,"LAO","Laos",2,"Bokeo","Khoueng","Province",NA,NA
3,123,"LAO","Laos",3,"Bolikhamxai","Khoueng","Province",NA,"Bolikhamsai|Bolikhamxay|Borikhamzay|Borikane|Borikhan|Borikhane"
4,123,"LAO","Laos",4,"Champasak","Khoueng","Province",NA,"Bassac|Champassack|Champassak|Champassac|Khong|Pakse"
5,123,"LAO","Laos",5,"Houaphan","Khoueng","Province",NA,"Hua Phan|Huaphanh|Sam Neua|Xam Nua"
6,123,"LAO","Laos",6,"Khammouan","Khoueng","Province",NA,"Khammouane|Khammuan"
7,123,"LAO","Laos",7,"Louang Namtha","Khoueng","Province",NA,"Haut-Mekong|Luangnamtha|Muong Luang Namtha|Namtha|Hiuakhong|Houa Kh"
8,123,"LAO","Laos",8,"Louangphrabang","Khoueng","Province",NA,"Loang Prabang|Louangphabang|Louang Prabang|Luang Phabang|Luangphrabang|Luang Prabang"
9,123,"LAO","Laos",9,"Oudômxai","Khoueng","Province",NA,"Oudomsai|Oudomsay|Oudomxay|UdomXay"
10,123,"LAO","Laos",10,"Phôngsali","Khoueng","Province",NA,"Fong Sali|Phongsaly"
11,123,"LAO","Laos",11,"Saravan","Khoueng","Province",NA,"Salavan|Salavane|Saravane"
12,123,"LAO","Laos",12,"Savannakhét","Khoueng","Province",NA,"Svannakhet"
13,123,"LAO","Laos",13,"Vientiane [prefecture]","Kampeng Nakhon","Municipality|Prefecture",NA,"Vientiane|Kamphaeng Nakhon Viang Chan"
14,123,"LAO","Laos",14,"Vientiane","Khoueng","Province",NA,"Viangchan"
15,123,"LAO","Laos",15,"Xékong","Khoueng","Province",NA,"Sekong"
16,123,"LAO","Laos",16,"Xaignabouri","Khoueng","Province",NA,"Sayabouri|Sayaboury|Xaignabouli|Xayabouri|Xayabury"
17,123,"LAO","Laos",17,"Xaisômboun","Khetphiset","Special Region|Zone",NA,"Saysomboune,|Xaysomboun"
18,123,"LAO","Laos",18,"Xiangkhoang","Khoueng","Province",NA,"Xiang Khouang|Xieng Khouang|Xiengkhuang|Xieng Khwang"
