"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,123,"LAO","Laos",1,"Attapu",1,"Phouvong","Muong","District",NA,NA
2,123,"LAO","Laos",1,"Attapu",2,"Samakkhixay","Muong","District",NA,"Sa Makhisai"
3,123,"LAO","Laos",1,"Attapu",3,"Sanamxay","Muong","District",NA,"Sanamxai#Sa Numsai"
4,123,"LAO","Laos",1,"Attapu",4,"Sanxay","Muong","District",NA,"San Sai"
5,123,"LAO","Laos",1,"Attapu",5,"Xaysetha","Muong","District",NA,"Saysettha#Xai settha"
6,123,"LAO","Laos",2,"Bokeo",6,"Houixai","Muong","District",NA,"Houay Xay|Huaixai, Huoixai"
7,123,"LAO","Laos",2,"Bokeo",7,"Meung","Muong","District",NA,"Muen"
8,123,"LAO","Laos",2,"Bokeo",8,"Nam You","Muong","District",NA,"Nam Nhu Special#Nam ou special"
9,123,"LAO","Laos",2,"Bokeo",9,"Paktha","Muong","District",NA,"Pak Tha"
10,123,"LAO","Laos",2,"Bokeo",10,"Pha Oudom","Muong","District",NA,NA
11,123,"LAO","Laos",2,"Bokeo",11,"Tonpheung","Muong","District",NA,"Thon Phueng"
12,123,"LAO","Laos",3,"Bolikhamxai",12,"Bolikhanh","Muong","District",NA,"Bo lykhanh"
13,123,"LAO","Laos",3,"Bolikhamxai",13,"Khamkheuth","Muong","District",NA,"Khamkeut|Khamkeuth#Kham kirth"
14,123,"LAO","Laos",3,"Bolikhamxai",14,"Pakkading","Muong","District",NA,"Pak kading"
15,123,"LAO","Laos",3,"Bolikhamxai",15,"Paksane","Muong","District",NA,"Pakxanh#Pak Sanh"
16,123,"LAO","Laos",3,"Bolikhamxai",16,"Thaphabath","Muong","District",NA,"Thaphabat#Tha Phabak"
17,123,"LAO","Laos",3,"Bolikhamxai",17,"Viengthong","Muong","District",NA,"Vieng Thong"
18,123,"LAO","Laos",4,"Champasak",18,"Bachiangchaleunsook","Muong","District",NA,"Batiengchaleunsouk"
19,123,"LAO","Laos",4,"Champasak",19,"Champassack","Muong","District",NA,"Champasak"
20,123,"LAO","Laos",4,"Champasak",20,"Khong","Muong","District",NA,NA
21,123,"LAO","Laos",4,"Champasak",21,"Moonlapamok","Muong","District",NA,"Mounlapamok"
22,123,"LAO","Laos",4,"Champasak",22,"Paksong","Muong","District",NA,"Pakxong#Pak Song"
23,123,"LAO","Laos",4,"Champasak",23,"Pakxe","Muong","District",NA,"Pak Se|Paksé"
24,123,"LAO","Laos",4,"Champasak",24,"Pathoomphone","Muong","District",NA,"Pathouphone#Pha Thomphone"
25,123,"LAO","Laos",4,"Champasak",25,"Phonthong","Muong","District",NA,"Phone Thong"
26,123,"LAO","Laos",4,"Champasak",26,"Sanasomboon","Muong","District",NA,"Sanasomboune#Sa Nasomboun"
27,123,"LAO","Laos",4,"Champasak",27,"Sukhuma","Muong","District",NA,"Soukhoumma"
28,123,"LAO","Laos",5,"Houaphan",28,"Huameuang","Muong","District",NA,"Houameuang#Hua Muen"
29,123,"LAO","Laos",5,"Houaphan",29,"Muang Et","Muong","District",NA,"Add#Oat"
30,123,"LAO","Laos",5,"Houaphan",30,"Sopbao","Muong","District",NA,"Sop Bao"
31,123,"LAO","Laos",5,"Houaphan",31,"Viengthong","Muong","District",NA,"Xieng Thong"
32,123,"LAO","Laos",5,"Houaphan",32,"Viengxay","Muong","District",NA,"Vieng Xay"
33,123,"LAO","Laos",5,"Houaphan",33,"Xamneua","Muong","District",NA,"Samneua#Xam Nue"
34,123,"LAO","Laos",5,"Houaphan",34,"Xamtay","Muong","District",NA,"Samtay#Xam Thai"
35,123,"LAO","Laos",5,"Houaphan",35,"Xiengkhor","Muong","District",NA,"Xiengkho"
