sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)",insured_losses,"Disaster name","Disaster No."
//1987,//1987,Cambodia,KHM,,,,,Km2,Drought,Drought,--,--,0,0,0,0,,1987-9026
22/08/1991,30/08/1991,Cambodia,KHM,"Kampong Cham, Prey Veng, Kampot, Kampong Spen, Takeo, Kandal Provinces",,,55860,Km2,Flood,"Riverine flood",--,--,100,900000,150000,0,,1991-0211
31/07/1994,31/07/1994,Cambodia,KHM,"Battambang, Takeo, Kompong Cham, Kandal, Kompong Speu, Phnom Penh",,,,Km2,Flood,--,--,--,506,29000,0,0,,1994-0064
/06/1994,//1996,Cambodia,KHM,"Prey Veng, Kompong Speu, Kompong Chhnang, Takeo provinces",,,3000,Km2,Drought,Drought,Flood,Famine,0,5000000,100000,0,,1994-9223
30/09/1996,03/11/1996,Cambodia,KHM,"Kratie, Phnom Penh, Tatanakiri, Stung Treng, Kampong Cham, Kandal, Prey Veng provinces",,,1306,Km2,Flood,"Riverine flood",--,--,59,1300000,1500,0,,1996-0221
01/11/1997,04/11/1997,Cambodia,KHM,,,,,Kph,Storm,"Tropical cyclone",--,--,25,0,10,0,Linda,1997-0267
02/08/1999,08/08/1999,Cambodia,KHM,"Kampot, Kratie, and Kompong Cham, Koh Kong, Sihanoukville Provinces",,,120,Km2,Flood,"Flash flood",--,--,7,535904,500,0,,1999-0259
25/10/1999,09/11/1999,Cambodia,KHM,"Takeo, Kandal, Kampong Speu, Phnom Penh Municipality, Pursat",,,99,Km2,Flood,"Coastal flood",--,--,0,124475,0,0,,1999-0437
11/07/2000,10/08/2000,Cambodia,KHM,"Stung Treng, Kratie, Koh Kong, Kampong Cham, Pursat, Kampong Thom, Takeo, Siem Reap, Otdar Meanchey, Kampot, Svay Rieng, Kandal, Phnom Penh, Prey Veng, Kampong Chhnang, Ratanak Kiri, Preah Vihear, Battambang, Banteay Meanchey, Kampong Speu provinces",,,638,Km2,Flood,"Riverine flood",--,--,347,3448053,160000,0,,2000-0438
15/08/2001,19/11/2001,Cambodia,KHM,"Stung Treng, Kratie, Kampong Cham provinces",,,3000,Km2,Flood,"Riverine flood",--,--,56,1669182,15000,0,,2001-0485
/09/2001,//2001,Cambodia,KHM,"Kampong Cham, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Kandal, Kep, Koh Kong, Kratie, Phnom Penh, Preah Sihanouk, Prey Veng, Pursat, Svay Rieng, Takeo provinces",,,,Km2,Drought,Drought,--,--,0,300000,0,0,,2001-9525
18/08/2002,26/11/2002,Cambodia,KHM,"Kandal, Stung Treng, Prey Veng, Takeo, Kampong Chhnang, Banteay Meanchey, Svay Rieng, Kampong Speu, Kratie, Pursat, Kampot provinces",,,,Km2,Flood,"Riverine flood",--,--,29,1470000,100,0,,2002-0522
/01/2002,/07/2002,Cambodia,KHM,"Takeo, Kampot, Kampong Speu, Kampong Chhnang, Kandal, Prey Veng, Phnom Penh,Otdar Meanchey, Banteay Meanchey, Pursat, Battambang provinces",,,2000,Km2,Drought,Drought,--,--,0,650000,38000,0,,2002-9485
