"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,40,"KHM","Cambodia",1,"Bântéay Méanchey",1,"Malai","Srok","District",NA,NA
2,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei","Srok","District",NA,NA
3,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov","Srok","District",NA,NA
4,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok","Srok","District",NA,NA
5,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah","Srok","District",NA,NA
6,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan","Srok","District",NA,NA
7,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek","Srok","District",NA,NA
8,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok","Srok","District",NA,NA
9,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum","Srok","District",NA,NA
10,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan","Srok","District",NA,NA
11,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang","Srok","District",NA,"Batdambang"
12,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel","Srok","District",NA,NA
13,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei","Srok","District",NA,NA
14,40,"KHM","Cambodia",2,"Batdâmbâng",14,"Phnum Proek","Srok","District",NA,NA
15,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol","Srok","District",NA,"Rotonak Mondol"
16,40,"KHM","Cambodia",2,"Batdâmbâng",16,"Samlout","Srok","District",NA,NA
17,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae","Srok","District",NA,NA
18,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao","Srok","District",NA,NA
19,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey","Srok","District",NA,NA
20,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas","Srok","District",NA,NA
21,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk","Srok","District",NA,NA
22,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri","Srok","District",NA,NA
23,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong","Srok","District",NA,NA
24,40,"KHM","Cambodia",3,"Kâmpôt",24,"Kampong Bay","Srok","District",NA,NA
25,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach","Srok","District",NA,NA
26,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot","Srok","District",NA,NA
27,40,"KHM","Cambodia",4,"Kâmpóng Cham",27,"Batheay","Srok","District",NA,NA
28,40,"KHM","Cambodia",4,"Kâmpóng Cham",28,"Chamkar Leu","Srok","District",NA,NA
29,40,"KHM","Cambodia",4,"Kâmpóng Cham",29,"Cheung Prey","Srok","District",NA,NA
30,40,"KHM","Cambodia",4,"Kâmpóng Cham",30,"Kampong Cham","Srok","District",NA,NA
31,40,"KHM","Cambodia",4,"Kâmpóng Cham",31,"Kampong Siem","Srok","District",NA,NA
32,40,"KHM","Cambodia",4,"Kâmpóng Cham",32,"Kang Meas","Srok","District",NA,NA
33,40,"KHM","Cambodia",4,"Kâmpóng Cham",33,"Kaoh Soutin","Srok","District",NA,NA
34,40,"KHM","Cambodia",4,"Kâmpóng Cham",34,"Prey Chhor","Srok","District",NA,NA
35,40,"KHM","Cambodia",4,"Kâmpóng Cham",35,"Srei Santhor","Srok","District",NA,NA
36,40,"KHM","Cambodia",4,"Kâmpóng Cham",36,"Stueng Trang","Srok","District",NA,NA
37,40,"KHM","Cambodia",5,"Kâmpóng Chhnang",37,"Baribour","Srok","District",NA,NA
38,40,"KHM","Cambodia",5,"Kâmpóng Chhnang",38,"Chol Kiri","Srok","District",NA,NA
39,40,"KHM","Cambodia",5,"Kâmpóng Chhnang",39,"Kampong Chhnang","Srok","District",NA,NA
40,40,"KHM","Cambodia",5,"Kâmpóng Chhnang",40,"Kampong Leaeng","Srok","District",NA,NA
41,40,"KHM","Cambodia",5,"Kâmpóng Chhnang",41,"Kampong Tralach","Srok","District",NA,NA
42,40,"KHM","Cambodia",5,"Kâmpóng Chhnang",42,"Rolea B'ier","Srok","District",NA,NA
43,40,"KHM","Cambodia",5,"Kâmpóng Chhnang",43,"Sameakki Mean Chey","Srok","District",NA,NA
44,40,"KHM","Cambodia",5,"Kâmpóng Chhnang",44,"Tuek Phos","Srok","District",NA,NA
45,40,"KHM","Cambodia",6,"Kâmpóng Spœ",45,"Aoral","Srok","District",NA,NA
46,40,"KHM","Cambodia",6,"Kâmpóng Spœ",46,"Basedth","Srok","District",NA,NA
47,40,"KHM","Cambodia",6,"Kâmpóng Spœ",47,"Chbar Mon","Srok","District",NA,NA
48,40,"KHM","Cambodia",6,"Kâmpóng Spœ",48,"Kong Pisei","Srok","District",NA,NA
49,40,"KHM","Cambodia",6,"Kâmpóng Spœ",49,"Odongk","Srok","District",NA,NA
50,40,"KHM","Cambodia",6,"Kâmpóng Spœ",50,"Phnum Sruoch","Srok","District",NA,NA
51,40,"KHM","Cambodia",6,"Kâmpóng Spœ",51,"Samraong Tong","Srok","District",NA,NA
52,40,"KHM","Cambodia",6,"Kâmpóng Spœ",52,"Thpong","Srok","District",NA,NA
53,40,"KHM","Cambodia",7,"Kâmpóng Thum",53,"Baray","Srok","District",NA,NA
54,40,"KHM","Cambodia",7,"Kâmpóng Thum",54,"Kampong Svay","Srok","District",NA,NA
55,40,"KHM","Cambodia",7,"Kâmpóng Thum",55,"Prasat Balangk","Srok","District",NA,NA
56,40,"KHM","Cambodia",7,"Kâmpóng Thum",56,"Prasat Sambour","Srok","District",NA,NA
57,40,"KHM","Cambodia",7,"Kâmpóng Thum",57,"Sandan","Srok","District",NA,NA
58,40,"KHM","Cambodia",7,"Kâmpóng Thum",58,"Santuk","Srok","District",NA,NA
59,40,"KHM","Cambodia",7,"Kâmpóng Thum",59,"Stoung","Srok","District",NA,NA
60,40,"KHM","Cambodia",7,"Kâmpóng Thum",60,"Stueng Saen","Srok","District",NA,NA
61,40,"KHM","Cambodia",8,"Kândal",61,"Angk Snuol","Srok","District",NA,NA
62,40,"KHM","Cambodia",8,"Kândal",62,"Kandal Stueng","Srok","District",NA,NA
63,40,"KHM","Cambodia",8,"Kândal",63,"Kaoh Thum","Srok","District",NA,NA
64,40,"KHM","Cambodia",8,"Kândal",64,"Khsach Kandal","Srok","District",NA,NA
65,40,"KHM","Cambodia",8,"Kândal",65,"Kien Svay","Srok","District",NA,NA
66,40,"KHM","Cambodia",8,"Kândal",66,"Leuk Daek","Srok","District",NA,NA
67,40,"KHM","Cambodia",8,"Kândal",67,"Lvea Aem","Srok","District",NA,NA
68,40,"KHM","Cambodia",8,"Kândal",68,"Mukh Kampul","Srok","District",NA,NA
69,40,"KHM","Cambodia",8,"Kândal",69,"Ponhea Lueu","Srok","District",NA,NA
70,40,"KHM","Cambodia",8,"Kândal",70,"S'ang","Srok","District",NA,NA
71,40,"KHM","Cambodia",8,"Kândal",71,"Ta Khmau","Srok","District",NA,NA
72,40,"KHM","Cambodia",9,"Kaôh Kong",72,"Botum Sakor","Srok","District",NA,NA
73,40,"KHM","Cambodia",9,"Kaôh Kong",73,"Kampong Seila","Srok","District",NA,NA
74,40,"KHM","Cambodia",9,"Kaôh Kong",74,"Kaoh Kong","Srok","District",NA,NA
75,40,"KHM","Cambodia",9,"Kaôh Kong",75,"Kiri Sakor","Srok","District",NA,NA
76,40,"KHM","Cambodia",9,"Kaôh Kong",76,"Mondol Seima","Srok","District",NA,NA
77,40,"KHM","Cambodia",9,"Kaôh Kong",77,"Smach Mean Chey","Srok","District",NA,NA
78,40,"KHM","Cambodia",9,"Kaôh Kong",78,"Srae Ambel","Srok","District",NA,NA
79,40,"KHM","Cambodia",9,"Kaôh Kong",79,"Thma Bang","Srok","District",NA,NA
80,40,"KHM","Cambodia",10,"Kep",80,"Kaeb","Srok","District",NA,NA
81,40,"KHM","Cambodia",11,"Krâchéh",81,"Chhloung","Srok","District",NA,NA
