"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,40,"KHM","Cambodia",1,"Bântéay Méanchey",1,"Malai",1,"n.a. ( 192)","Khum","Commune",NA,NA
2,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",2,"Banteay Neang","Khum","Commune",NA,NA
3,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",3,"Bat Trang","Khum","Commune",NA,NA
4,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",4,"Chamnaom","Khum","Commune",NA,NA
5,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",5,"Kouk Ballangk","Khum","Commune",NA,NA
6,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",6,"Koy Maeng","Khum","Commune",NA,NA
7,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",7,"Ou Prasat","Khum","Commune",NA,NA
8,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",8,"Phnum Touch","Khum","Commune",NA,NA
9,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",9,"Rohat Tuek","Khum","Commune",NA,NA
10,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",10,"Ruessei Kraok","Khum","Commune",NA,NA
11,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",11,"Sambuor","Khum","Commune",NA,NA
12,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",12,"Soea","Khum","Commune",NA,NA
13,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",13,"Srah Reang","Khum","Commune",NA,NA
14,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",14,"Ta Lam","Khum","Commune",NA,NA
15,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",15,"Changha","Khum","Commune",NA,NA
16,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",16,"Koub","Khum","Commune",NA,NA
17,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",17,"Kuttasat","Khum","Commune",NA,NA
18,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",18,"Nimitt","Khum","Commune",NA,NA
19,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",19,"Samraong","Khum","Commune",NA,NA
20,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",20,"Soengh","Khum","Commune",NA,NA
21,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",21,"Souphi","Khum","Commune",NA,NA
22,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",22,"Nam Tau","Khum","Commune",NA,NA
23,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",23,"Paoy Char","Khum","Commune",NA,NA
24,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",24,"Phnum Dei","Khum","Commune",NA,NA
25,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",25,"Ponley","Khum","Commune",NA,NA
26,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",26,"Spean Sraeng","Khum","Commune",NA,NA
27,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",27,"Srah Chik","Khum","Commune",NA,NA
28,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",28,"Chhnuor Mean Chey","Khum","Commune",NA,NA
29,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",29,"Chob Veari","Khum","Commune",NA,NA
30,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",30,"Phnum Lieb","Khum","Commune",NA,NA
31,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",31,"Prasat","Khum","Commune",NA,NA
32,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",32,"Preah Netr Preah","Khum","Commune",NA,NA
33,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",33,"Rohal","Khum","Commune",NA,NA
34,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",34,"Tean Kam","Khum","Commune",NA,NA
35,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",35,"Tuek Chour","Khum","Commune",NA,NA
36,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",36,"Bos Sbov","Khum","Commune",NA,NA
37,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",37,"Kampong Svay","Khum","Commune",NA,NA
38,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",38,"Kaoh Pong Satv","Khum","Commune",NA,NA
39,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",39,"Mkak","Khum","Commune",NA,NA
40,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",40,"Ou Ambel","Khum","Commune",NA,NA
41,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",41,"Phniet","Khum","Commune",NA,NA
42,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",42,"Preah Ponlea","Khum","Commune",NA,NA
43,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",43,"Tuek Thla","Khum","Commune",NA,NA
44,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",44,"Phkoam","Khum","Commune",NA,NA
45,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",45,"Roluos","Khum","Commune",NA,NA
46,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",46,"Sarongk","Khum","Commune",NA,NA
47,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",47,"Sla Kram","Khum","Commune",NA,NA
48,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",48,"Svay Chek","Khum","Commune",NA,NA
49,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",49,"Ta Baen","Khum","Commune",NA,NA
50,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",50,"Ta Phou","Khum","Commune",NA,NA
51,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",51,"Treas","Khum","Commune",NA,NA
52,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",52,"Banteay Chhmar","Khum","Commune",NA,NA
53,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",53,"Kouk Kakthen","Khum","Commune",NA,NA
54,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",54,"Kouk Romiet","Khum","Commune",NA,NA
55,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",55,"Kumru","Khum","Commune",NA,NA
56,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",56,"Phum Thmei","Khum","Commune",NA,NA
57,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",57,"Thma Puok","Khum","Commune",NA,NA
58,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",58,"Kaoh Chiveang","Khum","Commune",NA,NA
59,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",59,"Peam Aek","Khum","Commune",NA,NA
60,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",60,"Preaek Khpob","Khum","Commune",NA,NA
61,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",61,"Preaek Luong","Khum","Commune",NA,NA
62,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",62,"Preaek Norint","Khum","Commune",NA,NA
63,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",63,"Prey Chas","Khum","Commune",NA,NA
64,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",64,"Samraong Knong","Khum","Commune",NA,NA
65,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",65,"Bay Damram","Khum","Commune",NA,NA
66,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",66,"Chaeng Mean Chey","Khum","Commune",NA,NA
67,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",67,"Chheu Teal","Khum","Commune",NA,NA
68,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",68,"Kantueu Muoy","Khum","Commune",NA,NA
69,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",69,"Kantueu Pir","Khum","Commune",NA,NA
70,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",70,"Phnum Sampov","Khum","Commune",NA,NA
71,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",71,"Snoeng","Khum","Commune",NA,NA
72,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",72,"Ta Kream","Khum","Commune",NA,NA
73,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",73,"Anlong Run","Khum","Commune",NA,NA
74,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",74,"Bansay Traeng","Khum","Commune",NA,NA
75,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",75,"Boeng Pring","Khum","Commune",NA,NA
76,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",76,"Chrey","Khum","Commune",NA,NA
77,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",77,"Chrouy Sdau","Khum","Commune",NA,NA
78,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",78,"Kouk Khmum","Khum","Commune",NA,NA
79,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",79,"Ou Ta Ki","Khum","Commune",NA,NA
80,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",80,"Rung Chrey","Khum","Commune",NA,NA
81,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",81,"Ta Meun","Khum","Commune",NA,NA
82,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",82,"Ta Pung","Khum","Commune",NA,NA
83,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",83,"Ampil Pram Daeum","Khum","Commune",NA,NA
84,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",84,"Bavel","Khum","Commune",NA,NA
85,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",85,"Kdol","Khum","Commune",NA,NA
86,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",86,"Khnach Romeas","Khum","Commune",NA,NA
87,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",87,"Lvea","Khum","Commune",NA,NA
88,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",88,"Prey Khpos","Khum","Commune",NA,NA
89,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",89,"Chrey","Khum","Commune",NA,NA
90,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",90,"Kakaoh","Khum","Commune",NA,NA
91,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",91,"Kear","Khum","Commune",NA,NA
92,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",92,"Moung Ruessei","Khum","Commune",NA,NA
93,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",93,"n.a. ( 346)","Khum","Commune",NA,NA
94,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",94,"n.a. ( 423)","Khum","Commune",NA,NA
95,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",95,"Preaek Chik","Khum","Commune",NA,NA
96,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",96,"Prey Svay","Khum","Commune",NA,NA
97,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",97,"Prey Touch","Khum","Commune",NA,NA
98,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",98,"Robas Mongkol","Khum","Commune",NA,NA
99,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",99,"Ruessei Krang","Khum","Commune",NA,NA
100,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",100,"Ta Loas","Khum","Commune",NA,NA
101,40,"KHM","Cambodia",2,"Batdâmbâng",14,"Phnum Proek",101,"n.a. ( 244)","Khum","Commune",NA,NA
102,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol",102,"Andaeuk Haeb","Khum","Commune",NA,NA
103,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol",103,"Phlov Meas","Khum","Commune",NA,NA
104,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol",104,"Sdau","Khum","Commune",NA,NA
105,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol",105,"Traeng","Khum","Commune",NA,NA
106,40,"KHM","Cambodia",2,"Batdâmbâng",16,"Samlout",106,"n.a. ( 462)","Khum","Commune",NA,NA
107,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",107,"Anlong Vil","Khum","Commune",NA,NA
108,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",108,"Kampong Preah","Khum","Commune",NA,NA
109,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",109,"Kampong Pring","Khum","Commune",NA,NA
